_id,rpa,regiao,bairro,local,qtdzonas,endereco,latitude,longitude
84,6,SUL,Boa Viagem,Quiosque 20,1,"Av. Boa Viagem, em frente ao Nº 3232, Ed. Porto Bello",-8.116810,-34.892961
85,6,SUL,Boa Viagem,Quiosque 22,1,"Avenida Boa Viagem, em frente ao Nº 3056, Ed. Acaiaca",-8.118492,-34.893928
86,6,SUL,Boa Viagem,Quiosque 24,1,"Avenida Boa Viagem,em frente ao Nº 3472, Ed. Atlântico",-8.120235,-34.895040
87,6,SUL,Boa Viagem,Quiosque 26,1,"Avenida Boa Viagem, em frente ao Nº 3650",-8.121804,-34.895838
88,6,SUL,Boa Viagem,Quiosque 28,1,"Avenida Boa Viagem, em frente ao Nº 3854",-8.121850,-34.895862
89,6,SUL,Boa Viagem,Quiosque 30,1,"Av. Boa Viagem, em frente ao Nº 4070 -Hotel Grand Mercure",-8.124823,-34.896946
90,6,SUL,Boa Viagem,Quiosque 32,1,"Avenida Boa Viagem, em frente ao Nº 4268",-8.126840,-34.897702
91,6,SUL,Boa Viagem,Quiosque 33,1,"Av. Boa Viagem, em frente ao Nº 4530   Ed. Castelinho",-8.128499,-34.898242
92,6,SUL,Boa Viagem,Quiosque 34,1,"Avenida Boa Viagem, em frente ao Nº 2592",-8.129518,-34.898693
93,6,SUL,Boa Viagem,Pracinha de Boa Viagem ,2,Rua Dr. Nilo Dornelas Câmara - Boa Viagem,-8.132074,-34.900409
94,6,SUL,Boa Viagem,Quiosque 38,1,"Av. Boa Viagem, em frente à Rua Dr. Vicente Gomes",-8.133268,-34.900412
95,6,SUL,Boa Viagem,Quiosque 45,1,"Av. Boa Viagem, em frente ao  nº 5740 Ed. Manoel de Brito",-8.138908,-34.902451
96,6,SUL,Boa Viagem,Quiosque 51,1,"Av. Boa Viagem, em frente ao Nº 6370 Ed. Saint Honoré",-8.144343,-34.904712
97,6,SUL,Boa Viagem,Parque Dona Lindu,3,"Avenida Boa Viagem, s/n - Boa Viagem",-8.141746,-34.903819
98,6,SUL,Brasília Teimosa,Praia Buraco da Véia,1,Em frente ao Iate Clube do Recife,-8.080024,-34.876405
99,6,SUL,Cohab,"Upinha Ur4/Ur5, Des. José Manoel de Freitas",1,"Rua Capitão Vicente Curado, 33-Cohab - Ur 04/05 - Ibura",-8.132065,-34.948247
100,6,SUL,Cohab,"Pça UR1, em frente Esc. Maria Sampaio Lucena",1,"Av. Pernambuco _ Cohab, CEP 51280-000",-8.121373,-34.946269
102,6,SUL,Ibura,Policlínica Arnaldo Marques,1,"Avenida Dois Rios, s/n – Ibura",-8.120389,-34.944194
103,6,SUL,Imbiribeira,Ilha de Deus,1,"Rua Srg. Silvino de Macedo, 573, Imbiribeira",-8.113347,-34.906917
104,6,SUL,Imbiribeira,Lagoa do Araçá,1,Imbiribeira,-8.095890,-34.913698
105,6,SUL,Ipsep,Praça Mauricéia ,1,Rua Jean Emile Favre,-8.10800,-34.91640
106,6,SUL,Jordão,Praça do Jordão Baixo,1,"Rua Alberto Lundgren, 2 - Jardim Jordão",-8.136671,-34.936865
107,6,SUL,Pina,Policlínica Prof. Naíde Regueira Teodósio,1,"Avenida República do Líbano, 355 – Pina",-8.086077,-34.890425
